pose,energy,deltae,grms,bonds,angles,ureyb,dihedrals,impropers,vdwaals,elec,hbonds,asp,user,grvdw,grelec
40,-39.67795378460016,-0.0001434764895371643,2.1015037806131693,4.360338763076399e-05,-2.185129715837064e-06,1.799507643077125e-06,-8.790537870950743e-07,-3.373978947550718e-06,-5.079678019548339e-05,1.6955691823028474e-05,0.0,0.0,0.0,-0.920936862727505,-38.757022045517104
41,-39.65224035972552,-0.02571342487464534,1.7406605681705836,2.3535735382163026e-05,-2.0224431552584576e-05,2.3134917032097135e-06,-7.4688968121350285e-06,-1.0197575523833435e-06,9.761100415062174e-06,-9.413170225514023e-06,0.0,0.0,0.0,1.2771049403611907,-40.92934278415807
42,-39.651947736875464,-0.00029262285005415833,1.9336588302571402,0.0001695972857129746,-1.2964077260591012e-05,-8.169228789614569e-06,7.535885907294926e-06,1.9616368247491606e-06,-0.00015399727689846543,1.7377630499026964e-05,0.0,0.0,0.0,11.970664114181067,-51.622633192912524
43,-39.647741809392855,-0.004205927482608729,2.073113276015103,0.00018788359495403029,-4.561042325779141e-05,-7.596872689419332e-06,-5.453990415738019e-06,3.1194533958740084e-06,-0.00013529052801430907,1.2001659797533648e-05,0.0,0.0,0.0,13.614005350039564,-53.26175621232618
44,-39.59874743912325,-0.04899437026960385,1.7411875061299447,-9.606628583092025e-05,-9.085193817259807e-06,2.9078376517777116e-07,2.9756232189370735e-06,1.1675622220552045e-06,9.457307902316359e-05,-3.229512767433107e-06,0.0,0.0,0.0,-3.856215100383021,-35.742522964796045
45,-39.589878372317244,-0.00886906680600319,1.8966638255475052,-1.0192052074087243e-05,1.9820167554751578e-05,2.721146655365603e-07,-7.092731169500155e-06,8.79705871086045e-07,-2.8003578709245858e-06,2.444714700899908e-06,0.0,0.0,0.0,2.2190384566426435,-41.808920160521566
46,-38.66816533867258,-0.9217130336446644,2.2435124123781987,0.00012615471485255547,4.2929748020004155e-05,-1.062444346422442e-05,-4.0263710632260086e-06,4.862389657023236e-06,-0.00015525563298268708,1.0425222336962747e-05,0.0,0.0,0.0,-4.549081272806344,-34.11909853149359
47,53.944169734700424,-92.612335073373,7.600772416050969,-2.3050821358339135e-06,3.0317468142193604e-05,-1.660974881162458e-06,1.644521109511743e-06,3.874748592637596e-06,-1.528962396335487e-05,1.3332114008335338e-06,0.0,0.0,0.0,58.326775439888365,-4.382623619456201
48,-39.45624131669276,93.40041105139318,1.874045016795336,-4.808812968937204e-06,-7.390372855020644e-06,-1.2033951797232878e-05,4.45385417435773e-09,-1.0633679886750541e-06,-2.1789801859739555e-05,1.1200659427501591e-05,0.0,0.0,0.0,-4.840070794062779,-34.61613464143579
49,-39.44363872732435,-0.012602589368412964,1.9245376271377617,-0.000167045075084582,5.9454472991049556e-05,1.3521385049813928e-06,-1.639605200320915e-05,-2.0778572649982063e-07,9.934949450673969e-05,-9.624429909038668e-06,0.0,0.0,0.0,-3.5787649249872735,-35.864840685100354
50,-39.43096712284827,-0.012671604476075515,1.804580851807673,1.9427093268742368e-05,-1.2616674375909298e-05,-6.030169894546966e-06,-6.135064371193266e-06,-2.2980024392410536e-07,-2.2995418522242517e-05,1.4125424792510444e-05,0.0,0.0,0.0,0.8231783392864626,-40.25413100752539
51,-39.409011780446754,-0.021955342401518863,1.4956981339436308,-5.9635546794112315e-06,-3.623441300204533e-05,-4.858024676132611e-06,2.0975549563928553e-07,4.6240000992243957e-07,-1.5135270505339804e-05,2.1005719156974578e-05,0.0,0.0,0.0,-3.4536310880965644,-35.95534017896199
52,-39.400371992201855,-0.008639788244899194,1.6065169908006256,0.00011536385424548712,-1.89010156335101e-05,-3.4937046181904297e-06,-4.9864382516418004e-06,6.488079140054559e-07,-9.414665090901053e-05,8.970043730016641e-06,0.0,0.0,0.0,4.791221492740829,-44.19159693983916
53,-39.35843301148731,-0.041938980714547824,1.4039993353166,-0.0001392753331777019,-1.4555220926748547e-05,4.980806600662913e-06,-5.272332622041631e-06,2.701010755388686e-06,0.00014560655646178589,-2.5756166689205884e-05,0.0,0.0,0.0,-2.804504212804086,-36.55389722800362
54,-39.23776104163862,-0.12067196984868644,2.4062095079184544,-4.4432115894776913e-05,3.6517877078257044e-05,-3.92546500171953e-06,7.910379216546914e-06,1.184675457073514e-06,-3.166235160456665e-05,2.250007264237297e-05,0.0,0.0,0.0,10.148519128200572,-49.38626826291108
55,-39.236822556705015,-0.0009384849336022683,1.9155907849534142,0.00014574848029202947,1.472645754496682e-05,-7.72807785624774e-06,-6.619627421322605e-06,-1.1397491353933031e-06,-0.00016850522458256023,1.8913170512391275e-05,0.0,0.0,0.0,4.7710235601093105,-44.00784151224368
56,-39.18710875690577,-0.04971379979924251,2.1785692842815014,8.334794638664711e-05,5.868741792847132e-05,-5.05614199997062e-06,8.255891793318426e-06,-3.7365772460936503e-06,-0.00016200308591329815,2.925820120225353e-05,0.0,0.0,0.0,-6.179389449323906,-33.00772806123402
57,-39.1868319243587,-0.00027683254707611127,2.521677068384296,-0.00012437414419252946,-1.9832805527197905e-05,9.262369240231605e-06,2.4064806209977974e-06,7.993721374242868e-08,0.0001598590023768054,-1.7926405664780987e-05,0.0,0.0,0.0,5.2787389586990265,-44.46558035749179
58,-39.18102724692368,-0.0058046774350160035,2.2712071437397885,5.8364539264221804e-05,7.671961075761402e-06,-2.9604013827427833e-06,5.978166518261219e-06,-1.4182538073019904e-06,-7.806870331883431e-05,8.715974113115976e-06,0.0,0.0,0.0,7.712005242499023,-46.89303077270517
59,32.602354356811034,-71.78338160373471,6.781910138891542,-0.00014271659110254298,-6.024241982593992e-05,6.163154832442008e-06,-1.7315968818820693e-06,-5.361105634236335e-07,0.000166792983117503,6.623391227478237e-06,0.0,0.0,0.0,41.87267871597642,-9.270298711976185
60,-39.144771910589135,71.74712626740018,1.403895261557679,-8.033823937281248e-05,-1.8899025515661805e-05,2.358942264274466e-06,8.555854833502963e-07,-1.842077593154287e-06,0.00011465264016230492,-9.217026015306828e-06,0.0,0.0,0.0,0.4949820580592327,-39.639761539447775
61,-39.12298168938066,-0.021790221208476623,1.4250605238409517,9.644286012666647e-05,6.985814065441076e-06,-8.68797415211342e-06,-2.2660903935545207e-06,1.979445774075682e-06,-7.531620325451627e-05,-2.5809254999842324e-07,0.0,0.0,0.0,-1.5409413825079992,-37.58205918663227
62,-39.049601905433846,-0.07337978394680889,1.3295988509152656,9.237937486594738e-05,-1.3571482098573284e-05,-3.0652293883937087e-06,1.073080877489474e-06,-2.2758095153015134e-07,-6.533778910622345e-05,-8.945885294764366e-07,0.0,0.0,0.0,-5.714164328496408,-33.335447932723106
63,-39.007299131929855,-0.04230277350399092,1.788832639452787,-0.00012437576019452834,1.8314509345085384e-05,-5.590061244037381e-07,-8.851431654299802e-06,2.7598364797272457e-06,9.15868781170559e-05,-8.172035302678182e-06,0.0,0.0,0.0,3.3123912491323395,-42.31966108405286
64,-38.98782124477535,-0.01947788715451182,1.8521324659582286,-0.00015293529613824575,-1.1202375645780194e-05,5.97856297829269e-06,8.311727459187068e-06,-3.2315626002235934e-06,0.00016961120950931274,-3.267372660253898e-05,0.0,0.0,0.0,3.322003340231473,-42.309808443545776
65,-38.95420857868033,-0.03361266609501712,1.783384257976433,0.0001461749042275251,-1.0856411004400712e-05,-8.828622815593157e-06,9.822918869417663e-07,6.142884482621472e-07,-0.00017219864672846086,3.072456939534618e-05,0.0,0.0,0.0,2.840537015415762,-41.7947322064695
66,-38.85040051809778,-0.10380806058254777,1.6348587292981578,-0.00010629046234189587,-3.6115320813934204e-06,7.099341107624779e-06,-8.65518692361178e-06,-1.3553544732196332e-06,8.578046089802172e-05,2.0267357889736104e-06,0.0,0.0,0.0,2.643105072207666,-41.49348058430742
67,-38.8356297825949,-0.014770735502878551,1.2657897780627785,-1.9200664087559716e-05,-1.6619626308944646e-05,1.5021008054061369e-06,1.1787116646289064e-05,-3.7500592550716166e-06,2.4792991696998e-05,-6.994177612185126e-06,0.0,0.0,0.0,2.1873948286188063,-41.02301612889559
68,-38.82786723114392,-0.007762551450984034,2.1552121127583748,-8.759362644195079e-05,1.9636505850684216e-05,1.4610485261246087e-05,8.76457639797934e-07,5.7186191886049453e-08,5.666873297727193e-05,-1.4290600070410164e-05,0.0,0.0,0.0,1.5521977511532974,-40.38005494743862
69,-9.752510206327761,-29.075357024816157,4.4126204606516115,6.212637922597963e-05,-1.2839887802762462e-05,-3.911823971608497e-06,-1.3991712259908695e-06,-2.3344417701288284e-06,-2.8159517304615633e-05,-1.6155742912360438e-06,0.0,0.0,0.0,24.733512685994974,-34.4860347582856
70,-38.69707588646338,28.944565680135618,1.660123856197667,-9.598920201980832e-05,1.2351784114184028e-05,1.0232170533003293e-05,3.2855912941442966e-06,2.8359355686083387e-06,4.8400237327328455e-05,1.4897669499802646e-05,0.0,0.0,0.0,1.766337479522746,-40.46340938017244
71,-38.685779030900115,-0.011296855563262653,2.029371891313163,0.0001749844897178665,-7.87209601682548e-06,-1.5743725868849756e-05,-1.5550143324105647e-05,3.8243857462677555e-06,-0.00018499377625147417,3.512277319295265e-05,0.0,0.0,0.0,1.0405588643658958,-39.72632766717321
72,-25.310533455872452,-13.375245575027662,3.335292551981655,8.765092635543148e-05,8.496988920025927e-06,-7.930692022803387e-06,9.247488817365479e-06,-3.9629968148335165e-06,-0.00012082039924088406,2.7700562485577507e-05,0.0,0.0,0.0,7.116180245880045,-32.426714083631
73,-38.572963907355955,13.2624304514835,1.804496184823099,0.000130397733354215,7.480262874892674e-06,-4.638217650412835e-06,-1.2711417697097716e-05,2.1560435698106395e-06,-0.0001447064084345584,2.334087973387966e-05,0.0,0.0,0.0,1.4085011367918245,-39.98146636302353
74,-38.53931264444769,-0.03365126290826126,2.1241070923587517,-4.5978614281905195e-05,4.39391128850275e-05,1.156211886857439e-06,-7.228267995706972e-06,3.940600245391605e-06,-3.173337444373203e-05,1.9375195899229425e-05,0.0,0.0,0.0,13.085869802338127,-51.625165917650016
75,-38.51050809377232,-0.028804550675371132,0.9180248143391809,1.3715912899003868e-05,4.78530643355235e-05,-2.779824540846687e-06,-7.153997038322757e-06,-4.94678686305261e-07,-4.563630043463718e-05,3.4825320618381284e-06,0.0,0.0,0.0,-8.68947482281257,-29.821042257668346
76,-38.45355293773126,-0.05695515604106305,2.2936457695817074,2.781176145294495e-05,-6.8817494232042975e-06,-2.1443264416054486e-06,8.134735667297832e-07,-4.309873991930127e-06,-4.758329962228913e-05,2.274234806343145e-05,0.0,0.0,0.0,9.733286625182204,-48.18683001124707
